Rank	Taxonpath	Taxon	Pelagic01_2000uM	Pelagic01_1000uM	Pelagic1_500uM	Pelagic1_100uM	Pelagic1_Placa	LEK-01_Placa	LEK-01_100uM	LEK-01_500uM	LEK-02_Placa	LEK-02_100uM	LEK-02_500uM	LEK-02_2000uM	LEK-03_Placa	LEK-03_100uM	LEK-03_500uM	LEK-03_2000uM	PAS-01_Placa	PAS-01_100uM	PAS-01_500uM	PAS-02_Placa	PAS-02_100uM	PAS-02_500uM	PAS-02_2000uM	PAS-03_Placa	PAS-03_100uM	PAS-03_500uM	PAS-03_2000uM	ZUM-01_Placa	ZUM-01_100uM	ZUM-01_500uM	ZUM-01_2000uM	ZUM-02_Placa	ZUM-02_100uM	ZUM-02_500uM	ZUM-02_2000uM	ZUM-03_Placa	ZUM-03_100uM	ZUM-03_500uM
root	root	root	40507	26105	35370	13022	56138	4165	2569	7771	10196	6418	7056	16612	5191	2409	4152	10826	502	4189	5192	5213	2597	3730	14395	7796	5142	3315	15062	5038	3755	7381	6281	1834	4912	8697	12740	2964	903	2283
meta	Cellular organisms	Cellular organisms	40507	26105	35370	13022	56138	4165	2569	7771	10196	6418	7056	16612	5191	2409	4152	10826	502	4189	5192	5213	2597	3730	14395	7796	5142	3315	15062	5038	3755	7381	6281	1834	4912	8697	12740	2964	903	2283
domain	Cellular organisms;Eukaryota	Eukaryota	40507	26105	35370	13022	56138	4165	2569	7771	10196	6418	7056	16612	5191	2409	4152	10826	502	4189	5192	5213	2597	3730	14395	7796	5142	3315	15062	5038	3755	7381	6281	1834	4912	8697	12740	2964	903	2283
superkingdom	Cellular organisms;Eukaryota;Amorphea	Amorphea	40507	26105	35370	13022	56138	4165	2569	7771	10196	6418	7056	16612	5191	2409	4152	10826	502	4189	5192	5213	2597	3730	14395	7796	5142	3315	15062	5038	3755	7381	6281	1834	4912	8697	12740	2964	903	2283
kingdom	Cellular organisms;Eukaryota;Amorphea;Metazoa	Metazoa	40507	26105	35370	13022	56138	4165	2569	7771	10196	6418	7056	16612	5191	2409	4152	10826	502	4189	5192	5213	2597	3730	14395	7796	5142	3315	15062	5038	3755	7381	6281	1834	4912	8697	12740	2964	903	2283
phylum	Cellular organisms;Eukaryota;Amorphea;Metazoa;Chordata	Chordata	32	15	167	109	395	8	94	540	5215	188	354	8688	36	8	114	1341	24	43	50	373	88	306	7854	1251	2622	426	10938	50	309	93	1264	21	605	107	2464	214	81	55
phylum	Cellular organisms;Eukaryota;Amorphea;Metazoa;Echinodermata	Echinodermata	4	2	59	10	17	48	15	7	2	0	0	31	4	23	33	3012	2	74	170	12	26	157	63	32	30	24	35	3	12	138	14	22	118	130	9172	2	6	33
phylum	Cellular organisms;Eukaryota;Amorphea;Metazoa;Arthropoda	Arthropoda	31348	20386	27211	5838	8191	545	549	5968	302	2199	5207	4491	769	374	3039	4492	66	659	2310	1564	564	1419	1727	2814	938	1571	1179	155	480	3980	86	40	635	4950	378	251	163	1187
phylum	Cellular organisms;Eukaryota;Amorphea;Metazoa;Nematoda	Nematoda	10	13	66	33	356	0	1	0	0	1	0	0	0	1	0	0	9	0	0	0	0	0	0	0	2	0	0	0	65	0	0	0	80	4	0	3	8	0
phylum	Cellular organisms;Eukaryota;Amorphea;Metazoa;Rotifera	Rotifera	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0	0	0	1	0	0	0	14	0	0	0	4	0	0	0	1	0
phylum	Cellular organisms;Eukaryota;Amorphea;Metazoa;Annelida	Annelida	508	3439	3059	462	1518	799	858	746	1015	673	716	265	1321	814	634	777	153	1243	1346	954	715	1109	2507	750	687	662	641	3927	1873	2223	194	1087	2229	2166	138	1107	447	831
phylum	Cellular organisms;Eukaryota;Amorphea;Metazoa;Bryozoa	Bryozoa	72	23	47	42	231	609	11	4	1415	15	10	128	702	21	14	107	19	228	173	406	93	66	154	588	44	40	33	19	3	2	0	1	2	0	0	13	0	1
phylum	Cellular organisms;Eukaryota;Amorphea;Metazoa;Entoprocta	Entoprocta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	9	3	3	0	0	0	5	0	0	0	0	0	0	0	1	0	0	0	2	0
phylum	Cellular organisms;Eukaryota;Amorphea;Metazoa;Mollusca	Mollusca	7695	1232	690	658	28275	1002	329	300	655	2752	557	2880	345	682	211	1005	132	384	728	741	191	247	1852	1406	136	400	2105	341	308	402	1430	261	381	1002	576	690	55	82
phylum	Cellular organisms;Eukaryota;Amorphea;Metazoa;Nemertea	Nemertea	1	0	0	6	96	22	20	72	1	29	1	5	1	6	28	1	2	71	21	26	10	11	4	7	0	39	0	9	292	326	1	1	160	18	1	25	28	28
phylum	Cellular organisms;Eukaryota;Amorphea;Metazoa;Platyhelminthes	Platyhelminthes	218	25	98	97	42	0	1	0	1	2	0	0	2	3	0	0	0	18	8	2	4	0	0	1	6	0	0	0	0	0	0	0	1	0	0	0	0	0
phylum	Cellular organisms;Eukaryota;Amorphea;Metazoa;Cnidaria	Cnidaria	619	970	3973	5763	17017	742	605	124	1580	344	114	110	1875	373	62	83	85	1395	352	1103	902	412	229	908	665	152	130	220	368	179	3292	391	681	311	11	365	98	60
phylum	Cellular organisms;Eukaryota;Amorphea;Metazoa;Porifera	Porifera	0	0	0	0	0	390	86	10	10	215	97	14	136	104	17	8	10	52	23	29	0	3	5	39	6	1	1	314	31	38	0	10	15	9	0	294	14	6
