Rank	Taxonpath	Taxon	Pelagic01_2000uM	Pelagic01_1000uM	Pelagic1_500uM	Pelagic1_100uM	Pelagic1_Placa	LEK-01_Placa	LEK-01_100uM	LEK-01_500uM	LEK-02_Placa	LEK-02_100uM	LEK-02_500uM	LEK-02_2000uM	LEK-03_Placa	LEK-03_100uM	LEK-03_500uM	LEK-03_2000uM	PAS-01_Placa	PAS-01_100uM	PAS-01_500uM	PAS-02_Placa	PAS-02_100uM	PAS-02_500uM	PAS-02_2000uM	PAS-03_Placa	PAS-03_100uM	PAS-03_500uM	PAS-03_2000uM	ZUM-01_Placa	ZUM-01_100uM	ZUM-01_500uM	ZUM-01_2000uM	ZUM-02_Placa	ZUM-02_100uM	ZUM-02_500uM	ZUM-02_2000uM	ZUM-03_Placa	ZUM-03_100uM	ZUM-03_500uM
root	root	root	111.5	80.4	119.285714286	136.666666667	144.5625	133.153846154	182.173913043	157.5625	108.529411765	207.4	146.571428571	150.041666667	133.8	146.777777778	132.2	129.0	104.058823529	231.1	183.523809524	148.571428571	180.840909091	199.28125	195.285714286	207.909090909	191.025	162.947368421	207.333333333	120.8	182.361111111	137.157894737	84.5714285714	85.0	234.120689655	163.892857143	57.2857142857	128.038461538	184.5	116.533333333
meta	Cellular organisms	Cellular organisms	111.5	80.4	119.285714286	136.666666667	144.5625	133.153846154	182.173913043	157.5625	108.529411765	207.4	146.571428571	150.041666667	133.8	146.777777778	132.2	129.0	104.058823529	231.1	183.523809524	148.571428571	180.840909091	199.28125	195.285714286	207.909090909	191.025	162.947368421	207.333333333	120.8	182.361111111	137.157894737	84.5714285714	85.0	234.120689655	163.892857143	57.2857142857	128.038461538	184.5	116.533333333
domain	Cellular organisms;Eukaryota	Eukaryota	111.5	80.4	119.285714286	136.666666667	144.5625	133.153846154	182.173913043	157.5625	108.529411765	207.4	146.571428571	150.041666667	133.8	146.777777778	132.2	129.0	104.058823529	231.1	183.523809524	148.571428571	180.840909091	199.28125	195.285714286	207.909090909	191.025	162.947368421	207.333333333	120.8	182.361111111	137.157894737	84.5714285714	85.0	234.120689655	163.892857143	57.2857142857	128.038461538	184.5	116.533333333
superkingdom	Cellular organisms;Eukaryota;Amorphea	Amorphea	111.5	80.4	119.285714286	136.666666667	144.5625	133.153846154	182.173913043	157.5625	108.529411765	207.4	146.571428571	150.041666667	133.8	146.777777778	132.2	129.0	104.058823529	231.1	183.523809524	148.571428571	180.840909091	199.28125	195.285714286	207.909090909	191.025	162.947368421	207.333333333	120.8	182.361111111	137.157894737	84.5714285714	85.0	234.120689655	163.892857143	57.2857142857	128.038461538	184.5	116.533333333
kingdom	Cellular organisms;Eukaryota;Amorphea;Metazoa	Metazoa	111.5	80.4	119.285714286	136.666666667	144.5625	133.153846154	182.173913043	157.5625	108.529411765	207.4	146.571428571	150.041666667	133.8	146.777777778	132.2	129.0	104.058823529	231.1	183.523809524	148.571428571	180.840909091	199.28125	195.285714286	207.909090909	191.025	162.947368421	207.333333333	120.8	182.361111111	137.157894737	84.5714285714	85.0	234.120689655	163.892857143	57.2857142857	128.038461538	184.5	116.533333333
phylum	Cellular organisms;Eukaryota;Amorphea;Metazoa;Chordata	Chordata	None	None	6.0	None	6.5	None	6.0	9.0	9.0	11.1666666667	7.0	13.25	None	2.0	None	None	None	5.5	None	7.5	None	None	None	8.0	None	None	None	9.5	9.0	None	None	None	None	None	None	None	8.5	5.16666666667
phylum	Cellular organisms;Eukaryota;Amorphea;Metazoa;Echinodermata	Echinodermata	None	1.0	None	3.5	None	None	None	None	1.0	None	None	None	None	None	4.0	None	None	8.66666666667	None	None	5.5	None	None	None	None	None	None	None	None	None	None	None	11.0	9.5	3.0	1.0	None	7.5
phylum	Cellular organisms;Eukaryota;Amorphea;Metazoa;Arthropoda	Arthropoda	None	18.0	23.0	25.1666666667	21.5	26.0	36.0833333333	None	34.0	52.3333333333	49.125	50.25	34.125	46.125	52.0	40.125	12.5	69.5	46.3333333333	44.25	34.4	56.6666666667	40.0	59.0	32.6	46.125	44.1666666667	None	29.0	42.4	18.0	18.0	40.5	51.0	28.5	25.0	38.5	39.125
phylum	Cellular organisms;Eukaryota;Amorphea;Metazoa;Nematoda	Nematoda	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	2.5	None	None
phylum	Cellular organisms;Eukaryota;Amorphea;Metazoa;Rotifera	Rotifera	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
