Rank	Taxonpath	Taxon	Pelagic01_2000uM	Pelagic01_1000uM	Pelagic1_500uM	Pelagic1_100uM	Pelagic1_Placa	LEK-01_Placa	LEK-01_100uM	LEK-01_500uM	LEK-02_Placa	LEK-02_100uM	LEK-02_500uM	LEK-02_2000uM	LEK-03_Placa	LEK-03_100uM	LEK-03_500uM	LEK-03_2000uM	PAS-01_Placa	PAS-01_100uM	PAS-01_500uM	PAS-02_Placa	PAS-02_100uM	PAS-02_500uM	PAS-02_2000uM	PAS-03_Placa	PAS-03_100uM	PAS-03_500uM	PAS-03_2000uM	ZUM-01_Placa	ZUM-01_100uM	ZUM-01_500uM	ZUM-01_2000uM	ZUM-02_Placa	ZUM-02_100uM	ZUM-02_500uM	ZUM-02_2000uM	ZUM-03_Placa	ZUM-03_100uM	ZUM-03_500uM
root	root	root	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
meta	Cellular organisms	Cellular organisms	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
domain	Cellular organisms;Eukaryota	Eukaryota	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
superkingdom	Cellular organisms;Eukaryota;Amorphea	Amorphea	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
kingdom	Cellular organisms;Eukaryota;Amorphea;Metazoa	Metazoa	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
phylum	Cellular organisms;Eukaryota;Amorphea;Metazoa;Chordata	Chordata	0.000789986915842	0.000574602566558	0.00472151540854	0.00837045000768	0.00703623214222	0.00192076830732	0.0365901128844	0.0694891262386	0.51147508827	0.0292926145217	0.0501700680272	0.522995424994	0.00693507994606	0.00332088003321	0.0274566473988	0.123868464807	0.0478087649402	0.0102649797088	0.00963020030817	0.071551889507	0.0338852522141	0.0820375335121	0.545606113234	0.160466906106	0.50991831972	0.12850678733	0.726198380029	0.00992457324335	0.0822902796272	0.0125999187102	0.201241840471	0.0114503816794	0.123167752443	0.0123030930206	0.193406593407	0.0721997300945	0.0897009966777	0.024091108191
phylum	Cellular organisms;Eukaryota;Amorphea;Metazoa;Echinodermata	Echinodermata	9.87483644802e-05	7.66136755411e-05	0.00166808029403	0.000767931193365	0.000302825180804	0.0115246098439	0.0058388478007	0.000900784969759	0.000196155355041	0.0	0.0	0.00186612087647	0.000770564438451	0.00954753009548	0.00794797687861	0.278219102161	0.00398406374502	0.0176653139174	0.0327426810478	0.00230193746403	0.0100115517905	0.042091152815	0.00437651962487	0.00410466906106	0.00583430571762	0.00723981900452	0.0023237285885	0.000595474394601	0.00319573901465	0.01869665357	0.0022289444356	0.0119956379498	0.0240228013029	0.0149476831091	0.719937205651	0.000674763832659	0.00664451827243	0.0144546649146
phylum	Cellular organisms;Eukaryota;Amorphea;Metazoa;Arthropoda	Arthropoda	0.773890932431	0.78092319479	0.769324286118	0.448318230687	0.14590829741	0.130852340936	0.213701829506	0.767983528503	0.0296194586112	0.342630102836	0.737953514739	0.270346737298	0.148141013292	0.155251141553	0.731936416185	0.414927027526	0.131474103586	0.157316782048	0.444915254237	0.300019182812	0.217173661918	0.380428954424	0.119972212574	0.360954335557	0.182419292104	0.473906485671	0.0782764573098	0.0307661770544	0.127829560586	0.539222327598	0.0136920872473	0.0218102508179	0.1292752443	0.569161779924	0.0296703296703	0.0846828609987	0.180509413068	0.519929916776
phylum	Cellular organisms;Eukaryota;Amorphea;Metazoa;Nematoda	Nematoda	0.000246870911201	0.000497988891017	0.00186598812553	0.0025341729381	0.00634151555096	0.0	0.000389256520047	0.0	0.0	0.000155811779371	0.0	0.0	0.0	0.000415110004151	0.0	0.0	0.0179282868526	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000388953714508	0.0	0.0	0.0	0.017310252996	0.0	0.0	0.0	0.0162866449511	0.00045992871105	0.0	0.00101214574899	0.00885935769657	0.0
phylum	Cellular organisms;Eukaryota;Amorphea;Metazoa;Rotifera	Rotifera	0.0	0.0	0.0	0.000307172477346	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000238720458343	0.000385208012327	0.0	0.000385059684251	0.0	0.0	0.0	0.000194476857254	0.0	0.0	0.0	0.00372836218375	0.0	0.0	0.0	0.000814332247557	0.0	0.0	0.0	0.00110741971207	0.0
