Rank	Taxonpath	Taxon	Pelagic01_2000uM	Pelagic01_1000uM	Pelagic1_500uM	Pelagic1_100uM	Pelagic1_Placa	LEK-01_Placa	LEK-01_100uM	LEK-01_500uM	LEK-02_Placa	LEK-02_100uM	LEK-02_500uM	LEK-02_2000uM	LEK-03_Placa	LEK-03_100uM	LEK-03_500uM	LEK-03_2000uM	PAS-01_Placa	PAS-01_100uM	PAS-01_500uM	PAS-02_Placa	PAS-02_100uM	PAS-02_500uM	PAS-02_2000uM	PAS-03_Placa	PAS-03_100uM	PAS-03_500uM	PAS-03_2000uM	ZUM-01_Placa	ZUM-01_100uM	ZUM-01_500uM	ZUM-01_2000uM	ZUM-02_Placa	ZUM-02_100uM	ZUM-02_500uM	ZUM-02_2000uM	ZUM-03_Placa	ZUM-03_100uM	ZUM-03_500uM
root	root	root	87	74	109	126	122	111	154	130	99	175	126	115	105	125	113	105	81	195	172	137	159	161	154	149	153	136	154	92	165	122	56	58	213	145	47	104	124	94
meta	Cellular organisms	Cellular organisms	87	74	109	126	122	111	154	130	99	175	126	115	105	125	113	105	81	195	172	137	159	161	154	149	153	136	154	92	165	122	56	58	213	145	47	104	124	94
domain	Cellular organisms;Eukaryota	Eukaryota	87	74	109	126	122	111	154	130	99	175	126	115	105	125	113	105	81	195	172	137	159	161	154	149	153	136	154	92	165	122	56	58	213	145	47	104	124	94
superkingdom	Cellular organisms;Eukaryota;Amorphea	Amorphea	87	74	109	126	122	111	154	130	99	175	126	115	105	125	113	105	81	195	172	137	159	161	154	149	153	136	154	92	165	122	56	58	213	145	47	104	124	94
kingdom	Cellular organisms;Eukaryota;Amorphea;Metazoa	Metazoa	87	74	109	126	122	111	154	130	99	175	126	115	105	125	113	105	81	195	172	137	159	161	154	149	153	136	154	92	165	122	56	58	213	145	47	104	124	94
phylum	Cellular organisms;Eukaryota;Amorphea;Metazoa;Chordata	Chordata	2	3	6	5	6	2	6	8	7	11	7	11	2	2	5	4	5	5	4	7	5	4	6	8	7	4	10	8	7	7	6	5	11	8	4	4	7	5
phylum	Cellular organisms;Eukaryota;Amorphea;Metazoa;Echinodermata	Echinodermata	1	1	2	3	3	1	4	1	1	0	0	2	2	3	4	3	2	8	5	3	5	5	5	3	2	4	3	1	3	5	5	2	11	9	3	1	1	7
phylum	Cellular organisms;Eukaryota;Amorphea;Metazoa;Arthropoda	Arthropoda	20	18	21	25	21	22	34	47	16	47	46	38	28	31	44	37	11	29	41	24	28	40	31	27	29	36	36	11	27	36	14	10	38	45	16	17	26	29
phylum	Cellular organisms;Eukaryota;Amorphea;Metazoa;Nematoda	Nematoda	2	1	2	2	2	0	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	5	2	0	2	3	0
phylum	Cellular organisms;Eukaryota;Amorphea;Metazoa;Rotifera	Rotifera	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	2	0	0	0	2	0	0	0	1	0
phylum	Cellular organisms;Eukaryota;Amorphea;Metazoa;Annelida	Annelida	14	10	20	19	18	22	28	23	20	34	22	12	19	24	18	14	17	40	36	31	41	38	26	34	38	26	26	26	48	21	11	14	56	30	11	26	39	22
phylum	Cellular organisms;Eukaryota;Amorphea;Metazoa;Bryozoa	Bryozoa	2	2	3	3	4	6	5	1	5	4	4	4	5	4	2	4	6	10	8	9	9	10	9	9	7	7	8	2	1	1	0	1	1	0	0	2	0	1
phylum	Cellular organisms;Eukaryota;Amorphea;Metazoa;Entoprocta	Entoprocta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0
phylum	Cellular organisms;Eukaryota;Amorphea;Metazoa;Mollusca	Mollusca	20	16	24	26	26	29	30	25	25	40	23	28	25	28	22	25	18	38	29	25	27	21	35	23	20	21	43	20	23	19	16	10	34	22	9	20	15	13
phylum	Cellular organisms;Eukaryota;Amorphea;Metazoa;Nemertea	Nemertea	1	0	0	2	3	2	4	2	1	5	1	1	1	3	5	1	1	6	4	4	3	4	4	4	0	4	0	2	9	6	1	1	13	2	1	4	5	5
phylum	Cellular organisms;Eukaryota;Amorphea;Metazoa;Platyhelminthes	Platyhelminthes	2	1	1	2	2	0	1	0	1	2	0	0	1	1	0	0	0	1	3	1	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0
phylum	Cellular organisms;Eukaryota;Amorphea;Metazoa;Cnidaria	Cnidaria	23	22	30	38	37	24	34	19	21	26	19	15	20	22	12	15	18	50	36	31	38	38	35	37	45	33	27	19	34	22	3	14	35	26	3	24	21	10
phylum	Cellular organisms;Eukaryota;Amorphea;Metazoa;Porifera	Porifera	0	0	0	0	0	3	7	4	2	5	4	4	2	6	1	2	2	5	3	1	0	1	3	3	1	1	1	3	7	5	0	1	5	1	0	4	5	2
class	Cellular organisms;Eukaryota;Amorphea;Metazoa;Chordata;Actinopteri	Actinopteri	0	0	2	1	2	1	4	5	5	5	4	6	1	0	1	4	2	1	1	3	2	2	3	2	3	1	5	3	3	2	3	2	3	2	4	2	4	2
class	Cellular organisms;Eukaryota;Amorphea;Metazoa;Chordata;Chondrichthyes	Chondrichthyes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	2	1	2	2	1	0	1	1	1
class	Cellular organisms;Eukaryota;Amorphea;Metazoa;Chordata;Ascidiacea	Ascidiacea	2	3	4	4	4	1	2	3	2	6	3	5	1	2	4	0	3	4	3	4	3	2	3	6	4	3	5	3	3	3	2	1	6	5	0	1	2	2
class	Cellular organisms;Eukaryota;Amorphea;Metazoa;Echinodermata;Asteroidea	Asteroidea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1
class	Cellular organisms;Eukaryota;Amorphea;Metazoa;Echinodermata;Ophiuroidea	Ophiuroidea	0	0	0	1	1	0	2	0	1	0	0	1	1	2	3	2	2	5	3	2	4	3	4	2	1	2	2	0	1	3	3	1	6	6	2	0	1	4
class	Cellular organisms;Eukaryota;Amorphea;Metazoa;Echinodermata;Echinoidea	Echinoidea	1	1	2	2	2	1	2	1	0	0	0	1	1	1	1	1	0	2	1	1	1	2	1	1	1	2	1	1	2	2	2	1	4	3	0	1	0	2
class	Cellular organisms;Eukaryota;Amorphea;Metazoa;Arthropoda;Branchiopoda	Branchiopoda	0	0	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	1	0	0	0	2	1	1	0	1	1	0	0	1	0
class	Cellular organisms;Eukaryota;Amorphea;Metazoa;Arthropoda;Hexanauplia	Hexanauplia	0	0	1	4	0	0	3	0	0	5	3	2	0	8	1	0	2	6	4	5	5	1	1	7	4	0	0	0	8	1	0	1	10	1	0	2	8	3
class	Cellular organisms;Eukaryota;Amorphea;Metazoa;Arthropoda;Malacostraca	Malacostraca	15	13	15	16	12	19	28	46	12	39	41	35	24	21	42	35	6	17	32	12	16	32	21	15	20	30	30	10	16	32	13	8	25	41	15	12	15	25
class	Cellular organisms;Eukaryota;Amorphea;Metazoa;Arthropoda;Thecostraca	Thecostraca	3	3	3	3	6	1	0	0	3	2	1	1	3	1	1	2	3	3	1	5	2	2	3	4	2	3	3	1	1	1	0	1	1	1	1	3	1	1
class	Cellular organisms;Eukaryota;Amorphea;Metazoa;Arthropoda;Ostracoda	Ostracoda	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
class	Cellular organisms;Eukaryota;Amorphea;Metazoa;Arthropoda;Pycnogonida	Pycnogonida	2	2	2	1	2	2	2	1	1	1	1	0	1	0	0	0	0	3	4	2	3	5	6	1	2	3	3	0	0	1	0	0	1	1	0	0	0	0
class	Cellular organisms;Eukaryota;Amorphea;Metazoa;Nematoda;Chromadorea	Chromadorea	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	5	2	0	2	3	0
class	Cellular organisms;Eukaryota;Amorphea;Metazoa;Nematoda;Enoplea	Enoplea	2	1	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
class	Cellular organisms;Eukaryota;Amorphea;Metazoa;Rotifera;Eurotatoria	Eurotatoria	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	2	0	0	0	2	0	0	0	1	0
class	Cellular organisms;Eukaryota;Amorphea;Metazoa;Annelida;Polychaeta	Polychaeta	14	10	20	19	18	22	28	23	20	34	22	12	19	24	18	14	17	40	36	31	41	38	26	34	38	26	26	26	48	21	11	14	56	30	11	26	39	22
class	Cellular organisms;Eukaryota;Amorphea;Metazoa;Bryozoa;Gymnolaemata	Gymnolaemata	2	2	3	3	4	4	5	0	4	3	3	3	4	3	1	3	5	8	6	7	7	8	7	7	6	5	6	0	0	1	0	0	1	0	0	0	0	0
class	Cellular organisms;Eukaryota;Amorphea;Metazoa;Bryozoa;Stenolaemata	Stenolaemata	0	0	0	0	0	2	0	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	1	2	2	2	1	0	0	1	0	0	0	2	0	1
class	Cellular organisms;Eukaryota;Amorphea;Metazoa;Entoprocta;Barentsiidae	Barentsiidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
